ID,Severity,Start_Time,State,City,County,Temperature(F),Visibility(mi),Weather_Condition,Sunrise_Sunset,Description,Distance(mi),Start_Lat,Start_Lng,Amenity,Bump,Crossing,Junction,Traffic_Signal
A-7169203,Minor,2020-04-10T17:36:07Z,TN,Nashville,Davidson,57,10,Fair,Day,At TN-254/Old Hickory Blvd - Accident.,0,36.05361,-86.71509,FALSE,FALSE,TRUE,FALSE,TRUE
A-7121247,Minor,2020-03-18T19:10:02Z,CA,San Jose,Santa Clara,51,10,Light Rain,Day,At Stevens Creek Blvd - Accident. Hard shoulder blocked.,0,37.32328,-121.94056,FALSE,FALSE,FALSE,FALSE,FALSE
A-7031663,Minor,2020-05-15T16:10:30Z,AZ,Phoenix,Maricopa,87,10,Fair,Day,At AZ-101-LOOP/N 7th Ave - Accident.,0,33.66811,-112.08288,FALSE,FALSE,TRUE,FALSE,TRUE
A-7039213,Minor,2020-05-19T08:22:19Z,WA,Renton,King,55,9,Cloudy,Day,At 30th St/Exit 6 - Accident. Hard shoulder blocked.,0,47.51637,-122.19832,FALSE,FALSE,FALSE,FALSE,FALSE
A-564983,Minor,2022-07-15T12:12:12Z,NV,Reno,Washoe,92,10,Fair,Day,Crash on NV-431 Mt Rose Hwy at Caswell Ln.,0,39.377449,-119.834717,FALSE,FALSE,FALSE,FALSE,FALSE
A-7169667,Minor,2020-04-10T17:06:54Z,CA,Martinez,Contra Costa,68,10,Fair,Day,At Morello Ave - Accident. Hard shoulder blocked.,0,37.99073,-122.0956,FALSE,FALSE,FALSE,FALSE,FALSE
A-539877,Minor,2022-08-11T11:34:16Z,PA,Bloomsburg,Columbia,82,10,Fair,Day,Crash on PA-42 Mall Blvd both ways at Frosty Valley Rd.,0,41.002047999999995,-76.491089,FALSE,FALSE,FALSE,FALSE,FALSE
A-7174134,Minor,2020-04-13T16:44:16Z,FL,Tallahassee,Leon,85,10,Mostly Cloudy,Day,At White Dr - Earlier accident.,0,30.44693,-84.32613,FALSE,FALSE,TRUE,FALSE,TRUE
A-624377,Minor,2022-05-12T19:38:35Z,CA,Santa Clarita,Los Angeles,74,10,Fair,Day,Lane blocked due to crash on San Francisquito Canyon Rd Northbound at Calle Daggett.,0,34.61842,-118.419739,FALSE,FALSE,FALSE,FALSE,FALSE
A-7153999,Minor,2020-04-03T18:34:11Z,AZ,Tucson,Pima,81,10,Partly Cloudy,Day,At S Kolb Rd - Accident.,0,32.20641,-110.8411,FALSE,FALSE,TRUE,FALSE,TRUE
A-7123959,Minor,2020-03-19T11:20:14Z,CA,Mountain View,Santa Clara,NA,NA,NA,Day,Ramp to Evelyn Ave - Accident. Hard shoulder blocked.,0,37.391,-122.06806,FALSE,FALSE,TRUE,FALSE,TRUE
A-7123221,Minor,2020-03-19T04:45:18Z,LA,New Orleans,Orleans,72,3,Cloudy,Night,At US-90 - Accident.,0,29.94938,-90.08598,FALSE,FALSE,FALSE,FALSE,FALSE
A-554287,Minor,2022-07-27T08:14:31Z,LA,Zachary,East Baton Rouge,79,10,Fair,Day,Crash on Rollins St at LA-964 Old Scenic Hwy.,0,30.67284,-91.190498,FALSE,FALSE,FALSE,FALSE,FALSE
A-606128,Minor,2022-05-31T08:57:02Z,NY,Saugerties,Ulster,78,10,Fair,Day,Crash on CR-36 at Rivka Rd.,0,42.119511,-73.994766,FALSE,FALSE,FALSE,FALSE,FALSE
A-546202,Minor,2022-08-04T11:23:16Z,SC,Georgetown,Georgetown,81,10,Mostly Cloudy,Day,Crash on US-521 Highmarket St at US-17 Fraser St.,0,33.373669,-79.28868100000003,FALSE,FALSE,FALSE,FALSE,FALSE
A-624440,Minor,2022-05-12T18:03:46Z,CA,Turlock,Stanislaus,72,10,Fair,Day,Lane blocked due to crash on CR-J14 Geer Rd Southbound at Taylor Rd.,0,37.536732,-120.848,FALSE,FALSE,FALSE,FALSE,TRUE
A-7187769,Minor,2020-04-20T19:59:40Z,CA,Belmont,San Mateo,55,10,Partly Cloudy,Night,At Ralston Ave/Marine Pky/Exit 412 - Accident. Hard shoulder blocked.,0,37.52294000000001,-122.26619,FALSE,FALSE,FALSE,FALSE,FALSE
A-592908,Minor,2022-06-15T08:30:33Z,IL,Willowbrook,DuPage,87,10,Partly Cloudy,Day,Crash on IL-83 at Bluff Rd.,0,41.70969,-87.945053,FALSE,FALSE,FALSE,FALSE,TRUE
A-110270,Minor,2016-05-28T15:51:55Z,CA,San Clemente,San Diego,69.1,7,Partly Cloudy,Day,Accident on Cristianitos Rd in Camp Pendleton South.,0,33.408417,-117.585281,FALSE,FALSE,FALSE,FALSE,FALSE
A-634852,Minor,2022-04-28T07:36:19Z,CA,Santa Paula,Ventura,55,7,Cloudy,Day,Crash on CA-126 Westbound at Exit 9 Briggs Rd. On the median.,0,34.324799,-119.097542,FALSE,FALSE,FALSE,FALSE,FALSE
A-575622,Minor,2022-07-05T07:23:49Z,NY,Pittsford,Monroe,71,10,Cloudy,Day,Crash on Crescent Hill Rd at NY-31 Palmyra Rd.,0,43.078629,-77.483414,FALSE,FALSE,FALSE,FALSE,FALSE
A-14215,Minor,2016-10-31T14:32:56Z,CA,Sacramento,Sacramento,63,10,Partly Cloudy,Day,Accident on Florin Rd at Stockton Blvd.,0.01,38.496071,-121.4291,FALSE,FALSE,TRUE,FALSE,TRUE
A-7166730,Minor,2020-04-09T17:17:46Z,AZ,Tucson,Pima,72,10,Fair,Day,At W Ina Rd - Accident.,0,32.348009999999995,-111.09931,FALSE,FALSE,TRUE,FALSE,TRUE
A-624589,Minor,2022-05-12T06:39:02Z,NC,Charlotte,Mecklenburg,61,10,Fair,Day,Lane blocked due to crash on Billy Graham Pkwy at I-85 Exit 33.,0,35.238625,-80.91912099999998,FALSE,FALSE,FALSE,FALSE,FALSE
A-595741,Minor,2022-06-13T06:00:43Z,SC,Batesburg-Leesville,Saluda,75,10,Fair,NA,Crash on Spann Rd at Maggie Ln.,0,33.978569,-81.61865999999998,FALSE,FALSE,FALSE,FALSE,FALSE
A-7180465,Minor,2020-04-16T13:41:02Z,FL,Lake Mary,Seminole,66,10,Cloudy,Day,At SR-434/Exit 94 - Accident. Right lane blocked.,4.439,28.74873,-81.36618,FALSE,FALSE,FALSE,FALSE,FALSE
A-7196522,Minor,2020-04-24T17:26:52Z,AZ,Phoenix,Maricopa,97,10,Fair,Day,At N 51st Ave - Accident.,0,33.49496,-112.16891,FALSE,FALSE,TRUE,FALSE,TRUE
A-587926,Minor,2022-06-21T06:01:40Z,FL,Clearwater,Pinellas,78,10,Fair,Night,Left lane blocked due to crash on CR-296 118th Ave near CR-611 49th St.,0,27.879005,-82.700287,FALSE,FALSE,TRUE,FALSE,TRUE
A-7120867,Minor,2020-03-18T16:41:43Z,AZ,Tucson,Pima,54,10,Rain,Day,At E Broadway Blvd - Accident.,0,32.22149,-110.95943,FALSE,FALSE,TRUE,FALSE,TRUE
A-600656,Minor,2022-06-07T18:15:05Z,NC,Charlotte,Mecklenburg,83,10,Mostly Cloudy,Day,Crash on Park Rd at Cranford Dr.,0,35.157471,-80.848549,FALSE,FALSE,TRUE,FALSE,FALSE
A-7180458,Minor,2020-04-16T13:15:49Z,FL,Saint Petersburg,Pinellas,67,10,Cloudy / Windy,Day,Between US-19/SR-682/54th Ave S/Exit 17 and 22nd Ave/Exit 19 - Accident.,0.459,27.7416,-82.67635,FALSE,FALSE,FALSE,FALSE,FALSE
A-7041744,Minor,2020-05-20T17:25:24Z,CA,Los Gatos,Santa Clara,69,10,Fair,Day,At Summit Rd - Accident. Hard shoulder blocked.,0,37.14435,-121.98468,FALSE,FALSE,FALSE,TRUE,FALSE
A-6980810,Minor,2020-05-26T12:14:31Z,RI,Warwick,Kent,74,10,Fair,Day,At RI-117/Centerville Rd/Exit 9 - Accident. Left lane blocked.,0,41.69249,-71.47677,FALSE,FALSE,FALSE,FALSE,FALSE
A-7169301,Minor,2020-04-10T07:07:54Z,AZ,Phoenix,Maricopa,53,10,Fair,Day,Ramp to I-10 Eastbound - Accident.,0,33.46224,-112.12953,FALSE,FALSE,FALSE,FALSE,FALSE
A-6991295,Minor,2020-05-30T21:50:09Z,AZ,Gilbert,Maricopa,84,10,Mostly Cloudy,Night,At S Stapley Dr/N Copper Rd - Accident.,0,33.37886,-111.8073,FALSE,FALSE,TRUE,FALSE,TRUE
A-527351,Minor,2022-08-25T05:42:57Z,CA,Arvin,Kern,80,9,Fair,Night,Crash on Wheeler Ridge Rd at Sebastian Rd.,0,35.045398999999996,-118.91761,FALSE,FALSE,FALSE,FALSE,FALSE
A-7099706,Minor,2020-06-19T14:51:40Z,FL,Orlando,Orange,91,10,Fair,Day,At SR-408/East-West Expy - Accident.,0,28.551140000000004,-81.20429,FALSE,FALSE,TRUE,FALSE,TRUE
A-541659,Minor,2022-08-09T19:12:35Z,SC,Greenville,Greenville,85,10,Fair,Day,Crash on Belvue Rd at Rutherford Rd.,0,34.901588000000004,-82.35601,FALSE,FALSE,TRUE,FALSE,TRUE
A-597585,Minor,2022-06-10T07:02:09Z,SC,Holly Hill,Orangeburg,73,10,Mostly Cloudy,Day,Crash on US-176 Old State Rd at Coach Rd.,0,33.286559999999994,-80.360336,FALSE,FALSE,FALSE,FALSE,FALSE
A-7073651,Minor,2020-06-08T14:41:44Z,CA,Rocklin,Placer,79,10,Fair,Day,At Rocklin Rd - Accident. Hard shoulder blocked.,0,38.79935,-121.20988,FALSE,FALSE,FALSE,FALSE,FALSE
A-516381,Minor,2022-09-05T15:09:19Z,TN,Nashville,Davidson,79,4,Rain,Day,Crash on TN-254 Bell Rd at TN-254 Old Hickory Blvd.,0,36.045319,-86.70166800000001,FALSE,FALSE,FALSE,FALSE,FALSE
A-7019533,Minor,2020-05-08T23:58:41Z,CA,Sacramento,Sacramento,67,10,Fair,Night,At 65th St - Accident. Hard shoulder blocked.,0,38.55163,-121.4324,FALSE,FALSE,FALSE,TRUE,FALSE
A-631379,Minor,2022-05-02T14:51:17Z,SC,Laurens,Laurens,82,10,Partly Cloudy,Day,Lane blocked due to crash on Camp St at US-221 Harper St.,0,34.515190000000004,-82.00237299999998,FALSE,FALSE,FALSE,FALSE,FALSE
A-579094,Minor,2022-06-30T08:32:17Z,FL,New Port Richey,Pasco,84,10,Partly Cloudy,Day,Crash on FL-54 at CR-595 Grand Blvd.,0,28.21702,-82.723038,FALSE,FALSE,FALSE,FALSE,TRUE
A-539369,Minor,2022-08-11T18:25:46Z,MI,Grand Rapids,Kent,74,10,Fair,Day,Crash on Fuller Ave at Fountain St.,0,42.965019,-85.639679,FALSE,FALSE,TRUE,FALSE,FALSE
A-2482366,Minor,2018-11-27T07:53:46Z,FL,Jacksonville,Duval,43,10,Partly Cloudy,Day,Lane blocked due to accident on FL-13 San Jose Blvd Eastbound at Loretto Rd.,0,30.160849,-81.632263,FALSE,FALSE,TRUE,FALSE,TRUE
A-7078693,Minor,2020-06-10T12:05:54Z,OR,Beaverton,Washington,68,10,Cloudy,Day,At OR-8/SW Tualatin Valley Hwy - Accident.,0,45.51238,-122.85202,FALSE,FALSE,TRUE,FALSE,TRUE
A-534284,Minor,2022-08-18T07:24:58Z,FL,Pinellas Park,Pinellas,80,10,Fair,Day,Crash on US-19A-ALT 66th St at 102nd Ave.,0,27.86463,-82.728882,FALSE,FALSE,TRUE,FALSE,TRUE
A-607475,Minor,2022-05-30T07:50:35Z,NC,Charlotte,Mecklenburg,73,8,Mostly Cloudy,Day,Crash on Woodlawn Rd at Old Pineville Rd.,0,35.178001,-80.879662,FALSE,FALSE,TRUE,FALSE,TRUE
A-607410,Minor,2022-05-30T05:17:35Z,TX,Houston,Harris,79,10,Partly Cloudy,Night,Crash on 43rd St at TX-261-SPUR Shepherd Dr.,0,29.82733,-95.410591,FALSE,FALSE,TRUE,FALSE,TRUE
A-7148898,Minor,2020-04-01T11:37:02Z,NC,Zebulon,Wake,46,10,Cloudy,Day,At US-64/Dogwood Dr - Accident.,0,35.83361,-78.32070999999998,FALSE,FALSE,FALSE,FALSE,TRUE
A-546249,Minor,2022-08-04T07:57:01Z,AZ,Willow Beach,Mohave,90,NA,NA,Day,Right hand shoulder blocked due to crash on US-93 Northbound at US-93 Exit 10.,0,35.880939,-114.615341,FALSE,FALSE,FALSE,FALSE,FALSE
A-7179486,Minor,2020-04-15T18:19:03Z,CA,Monterey,Monterey,62,7,Fair,Day,At 17 Mile Dr/Scenic Dr - Accident. Hard shoulder blocked.,0,36.58577,-121.91861000000002,FALSE,FALSE,FALSE,FALSE,FALSE
A-562489,Minor,2022-07-19T07:27:09Z,PA,Plymouth Meeting,Montgomery,75,10,Fair,Day,Crash on entry ramp to I-276 Westbound from W Germantown Pike Northbound.,1.6200000047683716,40.109428,-75.28922299999998,FALSE,FALSE,FALSE,FALSE,FALSE
A-543420,Minor,2022-08-08T09:21:54Z,MA,South Boston,Suffolk,85,10,Partly Cloudy,Day,Crash on Old Colony Ave at Columbia Rd.,0,42.326981,-71.052277,FALSE,FALSE,TRUE,FALSE,TRUE
